PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,PARTNERID,PA,1B,2B,3B,HR,RBI,R,SB,BB,IP,BBSP,K,W,ER,HA,HBP,QS,UNDERDOG,PRIZEPICKS,H,PARK,BASES,OUTS,BATK,HRRBI,PC,REFID,FPTS,FPTS/$,FLOOR,CEIL,POWN,SMASH,TOPVAL,TEAMOWN,DIFFERENCE,LEV,OWNERSHIP,RGID
2039958,"Gabriel Arias",2300,MIN,1B/3B/SS,CLE,92828,102546,4.13,0.49,0.18,0.01,0.14,0.37,0.36,0.02,0.37,0,0,0,0,0,0,0,0,6.68,6.15,0.82,MIN,1.44,0,1.2747,1.55,,69,8.01,3.48,1.3,23.35,3.44,0.0195,0.047,0.0273,-0.0078,2.4,,2039958
3832824,"Will Brennan",2300,MIN,OF,CLE,92828,180095,3.96,0.64,0.15,0.01,0.08,0.33,0.31,0.034,0.24,0,0,0,0,0,0,0,0,5.85,5.5,0.88,MIN,1.29,0,0.6802,1.52,,70,6.96,3.03,0.7,20.06,1.08,0.0195,0.047,0.0273,-0.0078,2.4,,3832824
15860,"Mike Zunino",2200,MIN,C,CLE,92828,37983,3.67,0.24,0.12,0,0.18,0.34,0.27,0.002,0.32,0,0,0,0,0,0,0,0,5.42,4.98,0.54,MIN,1.2,0,1.6275,1.15,,71,6.61,3,0.66,21.95,1.38,0.0195,0.047,0.0273,-0.0078,2.4,,15860
538921,"Myles Straw",2400,MIN,OF,CLE,92828,97257,3.83,0.54,0.16,0.01,0.02,0.3,0.26,0.067,0.35,0,0,0,0,0,0,0,0,5.25,4.81,0.73,MIN,0.97,0,0.8035,1.29,,72,6.19,2.58,0.62,15.84,1.16,0.0195,0.047,0.0273,-0.0078,2.4,,538921
4061195,"Brenton Doyle",2900,KCR,OF,COL,92829,146682,4.99,0.78,0.21,0.1,0.13,0.54,0.57,0.026,0.27,0,0,0,0,0,0,0,0,8.8,8.34,1.22,KCR,2.02,0,1.2269,2.33,,73,10.7,3.69,2.82,27.57,6.43,0.0903,0.1201,0.079,0.0113,8.1,,4061195
13551,"Jurickson Profar",3000,KCR,OF,COL,92829,13262,4.73,0.61,0.29,0.1,0.1,0.54,0.61,0.024,0.66,0,0,0,0,0,0,0,0,9.75,8.83,1.1,KCR,1.89,0,0.6662,2.25,,74,11.65,3.88,4.33,27.42,11.54,0.0903,0.1201,0.079,0.0113,8.1,,13551
37483,"Ryan McMahon",3700,KCR,2B/3B,COL,92829,68514,4.77,0.58,0.28,0.01,0.2,0.55,0.59,0.013,0.6,0,0,0,0,0,0,0,0,9.58,8.72,1.07,KCR,1.97,0,1.0953,2.21,,75,11.54,3.12,3.72,29.09,15.3,0.0903,0.1201,0.079,0.0113,8.1,,37483
11315,"Mike Moustakas",2600,KCR,1B/3B,COL,92829,11322,4.5,0.51,0.26,0,0.13,0.49,0.5,0.007,0.53,0,0,0,0,0,0,0,0,7.98,7.2,0.9,KCR,1.55,0,0.9104,1.89,,76,9.59,3.69,1.86,28.18,6.0,0.0903,0.1201,0.079,0.0113,8.1,,11315
2038764,"Nolan Jones",2900,KCR,3B,COL,92829,79122,4.33,0.59,0.25,0.04,0.12,0.48,0.51,0.009,0.47,0,0,0,0,0,0,0,0,8.18,7.47,1,KCR,1.69,0,1.0271,1.99,,77,9.8,3.38,3.12,24.83,3.94,0.0903,0.1201,0.079,0.0113,8.1,,2038764
546217,"Harold Castro",2500,KCR,2B/SS/OF,COL,92829,97291,4.3,0.8,0.24,0.05,0.06,0.45,0.45,0.005,0.22,0,0,0,0,0,0,0,0,7.34,6.89,1.15,KCR,1.67,0,0.6912,2.05,,78,8.75,3.5,0.88,21.8,4.85,0.0903,0.1201,0.079,0.0113,8.1,,546217
