P,C/1B,2B,3B,SS,OF,OF,OF,UTIL,"","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
"","","","","","","","","","",91073-83157:Ranger Suarez,91073-83157,P,Ranger,Ranger Suarez,Suarez,20.6,5,6700,DET@PHI,PHI,DET,,,,,0,P
"","","","","","","","","","",91073-118195:Tejay Antone,91073-118195,P,Tejay,Tejay Antone,Antone,,,6700,MIL@CIN,CIN,MIL,IL,Elbow,,,,P
"","","","","","","","","","",91073-102287:Kyle Muller,91073-102287,P,Kyle,Kyle Muller,Muller,12,10,6700,OAK@PIT,OAK,PIT,,,,,0,P
"","","","","","","","","","",91073-102297:Keegan Thompson,91073-102297,P,Keegan,Keegan Thompson,Thompson,6.714285714285714,15,6700,CHC@SD,CHC,SD,,,,,,P
"","","","","","","","","","",91073-52174:Steven Matz,91073-52174,P,Steven,Steven Matz,Matz,17.75,12,6700,STL@TEX,STL,TEX,,,,,0,P
"","","","","","","","","","",91073-102375:Luis Medina,91073-102375,P,Luis,Luis Medina,Medina,15.666666666666666,6,6600,OAK@PIT,OAK,PIT,,,,,0,P
"","","","","","","","","","",91073-70649:Adrian Sampson,91073-70649,P,Adrian,Adrian Sampson,Sampson,22.666666666666668,21,6600,CHC@SD,CHC,SD,IL,Knee,,,,P
"","","","","","","","","","",91073-135343:Max Meyer,91073-135343,P,Max,Max Meyer,Meyer,10.5,2,6500,KC@MIA,MIA,KC,IL,Elbow,,,0,P
"","","","","","","","","","",91073-161167:Glenn Otto,91073-161167,P,Glenn,Glenn Otto,Otto,21.925925925925927,27,6500,STL@TEX,TEX,STL,IL,Lat,,,0,P
"","","","","","","","","","",91073-118225:Cristopher Sanchez,91073-118225,P,Cristopher,Cristopher Sanchez,Sanchez,19,1,6500,DET@PHI,PHI,DET,,,,,0,P
"","","","","","","","","","",91073-16961:Jameson Taillon,91073-16961,P,Jameson,Jameson Taillon,Taillon,15,10,6500,CHC@SD,CHC,SD,,,,,,P
"","","","","","","","","","",91073-79079:Joey Wentz,91073-79079,P,Joey,Joey Wentz,Wentz,13.909090909090908,12,6400,DET@PHI,DET,PHI,,,,Yes,,P
"","","","","","","","","","",91073-179725:Luis Ortiz,91073-179725,P,Luis,Luis Ortiz,Ortiz,18,5,6400,OAK@PIT,PIT,OAK,,,,,0,P
"","","","","","","","","","",91073-178415:Javier Assad,91073-178415,P,Javier,Javier Assad,Assad,10.571428571428571,8,6300,CHC@SD,CHC,SD,,,,,,P
"","","","","","","","","","",91073-159099:Connor Overton,91073-159099,P,Connor,Connor Overton,Overton,6,3,6300,MIL@CIN,CIN,MIL,IL,Elbow,,,,P
